Aatank Hi Aatank
Kaal Sandhya
Kaalia
Kaun Rokega Mujhe
Kaun Sachcha Kaun Jhootha
Kamsin: The Untouched
Koi Kisise Kum Nahin
Koyla
Krishna Arjun
Lahu Ke Do Rang
Lav Kush
Loha
Mahaanta
Mere Sapno Ki Rani
Mohabbat
Mrityudand
Mrityudata
Mr. and Mrs. Khiladi
Naseeb
Nirnayak
Pardes
Prithvi
Qahar
Rui Ka Bojh
Saat Rang Ke Sapne
Salma Pe Dil Aa Gaya
Sanam
Shapath
Share Bazaar
Sixth Happiness
Suraj
Tamanna
Tarazu
Tunnu Ki Tina
Udaan
Uff! Yeh Mohabbat
Virasat
Vishwavidhaata
Yes Boss
Yeshwant
Zameer: The Awakening of a Soul
Ziddi
2001: Do Hazaar Ek
Aakrosh
Achanak
Angaaray
Aunty No. 1
Bada Din
Bade Miyan Chote Miyan
Badmaash
Bandhan
Barood
Bombay Boys
Chandaal
China Gate
Chhota Chetan
Dand Nayak
Deewana Hoon Pagal Nahi
Devta
Dhoondte Reh Jaaoge!
Dil Se..
Do Numbri
Doli Saja Ke Rakhna
Dulhe Raja
Duplicate
Dushman
1947 Earth
Ehsaas is Tarah
Ek Tha Dil Ek Thi Dhadkan
Ghar Bazar
Gharwali Baharwali
Ghulam
Gunda
Hafta Vasuli
Hatya Kaand
Hatyara
Hazaar Chaurasi Ki Maa
Hero Hindustani
Himmatwala
Hitler
Humse Badhkar Kaun
Hyderabad Blues
Iski Topi Uske Sarr
Jaane Jigar
Jab Pyaar Kisise Hota Hai
Jhooth Bole Kauwa Kaate
Kabhi Na Kabhi
Kareeb
Keemat – They Are Back
Khofnak Mahal
Khote Sikkey
Kuch Kuch Hota Hai
Kudrat
Laash
Mafia Raaj
Maharaja
Main Solah Baras Ki
Major Saab
Mard
Mehndi
Mere Do Anmol Ratan
Military Raaj
Miss 420
Mohabbat Aur Jung
Pardesi Babu
Prem Aggan
Purani Kabar
Pyaar Kiya To Darna Kya
Pyaar To Hona Hi Tha
Pyasi Aatma
Pyasi Chudail
Qila
Saat Rang Ke Sapne
Saaz
Saazish
Salaakhen
Sar Utha Ke Jiyo
Satya
Sham Ghansham
Sher-E-Hindustan
Soldier
Swami Vivekananda
Tirchhi Topiwale
Train To Pakistan
Ustadon Ke Ustad
Vinashak – Destroyer
Wajood
Yamraaj
Yugpurush
Zakhm
Zanjeer
Zor
Zulm-O-Sitam
Aaag Hi Aag
Aa Ab Laut Chalen
Aarzoo
Aaya Toofan
Anari No.1
Arjun Pandit
Baadshah
Bade Dilwala
Benaam
Bhoot Ka Darr
Bhopal Express
Biwi No.1
Chalo America
Chandaal Aatma
Chehraa
Chudail No. 1
Daag
Dahek
Dil Kya Kare
Dillagi
Double Gadbad
Dracula
Dubashi (The Translator)
Dulhan Banoo Main Teri
Gair
Ganga Ki Kasam
Godmother
Haseena Maan Jaayegi
Heeralal Pannalal
Hello Brother
Hindustan Ki Kasam
Hogi Pyaar Ki Jeet
Hote Hote Pyar Ho Gaya
Hu Tu Tu
Hum Aapke Dil Mein Rehte Hain
Hum Dil De Chuke Sanam
Hum Saath-Saath Hain
Hum Tum Pe Marte Hain
International Khiladi
Jaanam Samjha Karo
Jaanwar
Jahan Tum Le Chalo
Jai Hind
Kaala Samrajya
Kaama
Kachche Dhaage
Kahani Kismat Ki
Kartoos
Kaun?
Khoobsurat
Khooni Ilaaka:The Prohibited Area
Khoonkar Darinde
Khopdi: The Skull
Kohram
Laawaris
Lal Baadshah
Last Train to Mahakali
Lo Main Aa Gaya
Lohpurush
Maa Kasam
Manchala
Mann
Mast
Mother
Munnibai
Murdaa Ghar
Naukar Ki Kameez
Nyaydaata
Phir Kabhi
Phool Aur Aag
Putlibai
Pyaar Koi Khel Nahin
Pyaar Mein Kabhi Kabhi
Rajaji
Safari
Samar
Sangharsh
Sanyasi Mera Naam
Sarfarosh
Sarfarosh-E-Hind
Sautela
Shaheed Udham Singh
Shera
Shool
Sikandar Sadak Ka
Silsila Hai Pyar Ka
Sirf Tum
Sooryavansham
Split Wide Open
Taal
Tabaahi-The Destroyer
Thakshak
Trishakti
Vaastav: The Reality
Yeh Hai Mumbai Meri Jaan
Zulmi
