Kudiyon Ka Hai Zamana
Barah Aana
Firaaq
Lottery
Straight
Aa Dekhen Zara
Ek: The Power of One
8 x 10 Tasveer
Ek Se Bure Do
Pal Pal Dil Ke Ssaat
Coffee House
School Days[3]
Royal Utsav[4]
Chowrasta Crossroads of Love[5]
Meri Padosan[6]
Sikandar
"Suno Na, Ek Nanhi Awaaz[7]"
Detective Naani
Yeh Pal Ho Na Ho kal[8]
Sanam Teri Kasam
Team - The Force[9]
Kal Kissne Dekha
Zor Lagaa KeHaiya!
Let's Dance
Paying Guests
New York
Kambakkht Ishq
Sankat City
Shortkut
Jashnn
Luck
Love Aaj Kal
Agyaat
Chal Chalein
Teree Sang
Kaminey
Life Partner
"Three: Love, Lies, Betrayal"
Daddy Cool
Kisaan
Love Khichdi
Toss
Yeh Mera India
Aagey Se Right
Chintu Ji
Fox
Aamras[10]
Baabarr
Vaada Raha
Dil Bole Hadippa!
Wanted
Blue Oranges[11]
Phir Kabhi
What's Your Raashee?
Do Knot Disturb
Wake Up Sid
Acid Factory
All the Best: Fun Begins
Blue
Main Aurr Mrs Khanna
Bal Ganesh 2
Fruit and Nut
Love Ka Tadka[12]
London Dreams
Aladin
Ajab Prem Ki Ghazab Kahani
Jail
Tum Mile
Aao Wish Karein
Kurbaan
Shaabash! You Can Do It[13]
Marega Salaa
De Dana Dan
Radio
Paa
Rocket Singh: Salesman of the Year
"Raat Gayi, Baat Gayi?"
3 Idiots
Accident on Hill Road
Dulha Mil Gaya
Pyaar Impossible!
Chance Pe Dance
Hello! Hum Lallan Bol Rahe Hain
Veer
Ishqiya
Rann
Road To Sangam
The Hangman
Striker
Sukhmani: Hope for Life
My Name Is Khan
Aakhari Decision
Click
Toh Baat Pakki!
Karthik Calling Karthik
Teen Patti
Atithi Tum Kab Jaoge?
Hello Zindagi
"Road, Movie"
Rokkk
Thanks Maa
Do Dilon Ke Khel Mein
Hide & Seek
Na Ghar Ke Na Ghaat Ke
Right Yaaa Wrong
Trump Card
Idiot Box
Lahore
Love Sex Aur Dhokha
Shaapit
Hum Tum Aur Ghost
It's a Man's World
Mittal v/s Mittal
My Friend Ganesha 3
Prem Kaa Game
Well Done Abba
Pankh
Sadiyaan
Tum Milo Toh Sahi
Jaane Kahan Se Aayi Hai
Prince
The Japanese Wife
Paathshaala
Phoonk 2
Apartment
Bird Idol
City of Gold
Kuchh Kariye
Muskurake Dekh Zara
Chase
Housefull
Badmaash Company
Bumm Bumm Bole
Admissions Open
Kushti
Kites
Raajneeti
Ek Second Jo Zindagi Badal De?
Raavan
Krantiveer – The Revolution
Mr. Singh Mrs. Mehta
I Hate Luv Storys
Milenge Milenge
Red Alert: The War Within
Lamhaa
Tere Bin Laden
Udaan
Khatta Meetha
Once Upon a Time in Mumbaai
Aisha
Help
Peepli Live
Lafangey Parindey
And Once Again
Hello Darling
Antardwand
Aashayein
Soch Lo
We Are Family
Mallika
The Film Emotional Atyachar
Dabangg
Kings of Devon
Anjaana Anjaani
Benny and Babloo
Khichdi: The Movie
Crook
Do Dooni Chaar
Aakrosh
Pusher
Knock Out
Kajraare
Ramayana: The Epic
Hisss
Jhootha Hi Sahi
Rakta Charitra
Maalik Ek
Nakshatra
Golmaal 3
Action Replayy
Dunno Y Na Jaane Kyon
A Flat
Ramaa: The Saviour
Guzaarish
"Shahrukh Bola ""Khoobsurat Hai Tu"""
Diwangi Ne Had Kar Di
Allah Ke Banday
Break Ke Baad
Khuda Kasam
Khelein Hum Jee Jaan Sey
Phas Gaye Re Obama
Rakta Charitra 2
Band Baaja Baaraat
No Problem
332 Mumbai to India
Payback
Kaalo
Mirch
Tees Maar Khan
Isi Life Mein!
Toonpur Ka Superrhero
Tera Kya Hoga Johnny
Ada A Way of Life
Manorama Six Feet Under
