Aaghaaz
Na Tum Jaano Na Hum
Nishad
Om Jai Jagadish
Pitaah
Pyaar Diwana Hota Hai
Pyar Ki Dhun
Pyaasa
Raaz
Reshma Aur Sultan
Rishtey
Road
Saathiya
Shaheed-E-Azam
Shakti - The Power
Shararat
Soch
Sur: The Melody of Life
The Legend of Bhagat Singh
Tumko Na Bhool Paayenge
Tum Se Achcha Kaun Hai
Waah! Tera Kya Kehna
Yeh Dil Aashiqanaa
Yeh Hai Jalwa
Yeh Kaisi Mohabbat
Yeh Kya Ho Raha Hai?
Yeh Mohabbat Hai
Zindagi Khoobsoorat Hai
3 Deewarein
88 Antop Hill
Aaj Ka Andha Kanoon
Aanch
Aapko Pehle Bhi Kahin Dekha Hai
Andaaz
Armaan
Baaz: A Bird in Danger
Baghban
Bas Yun Hi
Basti
Bhoot
Boom
Calcutta Mail
Chalte Chalte
Chori Chori
Chupke Se
Chura Liyaa Hai Tumne
Darna Mana Hai
Dhoop
Dhund
Dil Ka Rishta
Dil Pardesi Ho Gayaa
Dum
Ek Alag Mausam
Ek Aur Ek Gyarah
Ek Din 24 Ghante
Escape from Taliban
Final Solution
Footpath
Freaky Chakra
Fun2shh Dudes in the 10th Century
Gangaajal
Green Card Fever
Haasil
Hawa
Hawayein
The Hero: Love Story of a Spy
Humein Tumse Pyar Ho Gaya Chupke Chupke[2]
Hungama
Indian Babu
Inteha
Ishq Vishk
Jaal: The Trap
Jajantaram Mamantaram
Janasheen
Jhankaar Beats
Jism
Jodi Kya Banayi Wah Wah Ramji
Joggers Park
Kagaar: Life on the Edge
Kahan Ho Tum
Kaise Kahoon Ke Pyaar Hai
Kal Ho Naa Ho
Kash Aap Hamare Hote
Khanjar: The Knife[3]
Khel – No Ordinary Game
Khushi
Khwahish
Koi Mil Gaya
Kucch To Hai
Kuch Naa Kaho
LOC: Kargil
Love at Times Square
Main Madhuri Dixit Banna Chahti Hoon
Main Prem Ki Diwani Hoon
Market
Mudda: The Issue
Mumbai Matinee
Mumbai Se Aaya Mera Dost
Munna Bhai M.B.B.S.
Nayee Padosan
Om
Oops!
Out of Control
Paap
Parwana
Patth[4]
Pinjar
The Pink Mirror
Praan Jaye Par Shaan Na Jaye
Qayamat: City Under Threat
Raghu Romeo
Raja Bhaiya
"Right Here, Right Now"
Rules: Pyaar Ka Superhit Formula
Saaya
Samay: When Time Strikes
Satta
Sssshhh
Stumped
Supari
Tada
Talaash: The Hunt Begins
Tehzeeb
Tere Naam
The Perfect Husband
Tujhe Meri Kasam
Tumse Milke Wrong Number
Waisa Bhi Hota Hai Part II
Xcuse Me
Yeh Dil
Zameen
Aabra Ka Daabra
Aan: Men at Work
Ab Bas![2]
Ab Tak Chappan
Ab Tumhare Hawale Watan Saathiyo
Aetbaar
Agnipankh
Aitraaz
AK-47
Asambhav
Bardaasht
Bhola in Bollywood
Chameli
Chand Bujh Gaya
Charas
Deewaar
Dev
Dhoom
Dil Bechara Pyaar Ka Maara
Dil Maange More
Dil Ne Jise Apna Kahaa
Dobara
Dukaan[3]
Ek Se Badhkar Ek
Ek Hasina Thi
Fida
Garv
Gayab
Girlfriend
Hatya
Hava Aney Dey
Hawas
Hulchul
Hum Tum
Hyderabad Blues 2
I Proud to Be an Indian
Insaaf: The Justice
Inteqam: The Perfect Game
Ishq Hai Tumse
Jaago
Julie
Kaash Hamara Dil Pagal Na Hota[4]
Kaun Hai Jo Sapno Mein Aaya
Kaya Taran
Khakee
Khamosh Pani
King of Bollywood
Kis Kis Ki Kismat
Kismat
Kiss Kis Ko[5]
Krishna Cottage
Kyun! Ho Gaya Na
Lakeer – Forbidden Lines
Lakshya
Let's Enjoy[6]
Madhoshi
Main Hoon Na
Maqbool
Masti
Meenaxi: A Tale of Three Cities
Meri Biwi Ka Jawaab Nahin
Mujhse Shaadi Karogi
Murder
Musafir
Muskaan
"""Mysteries Shaque"""
Naach
Netaji Subhas Chandra Bose: The Forgotten Hero
Paap
Paisa Vasool
Phir Milenge
Plan
Police Force: An Inside Story
Popcorn Khao! Mast Ho Jao
Raincoat
Rakht
Rok Sako To Rok Lo
Rudraksh
Run
Shaadi Ka Laddoo
Shart: The Challenge
Sheen
Shikaar
Shukriya: Till Death Do Us Apart
Silence PleaseThe Dressing Room[7]
Stop!
Suno Sasurjee
Swades
Taarzan: The Wonder Car
Tauba Tauba
Thoda Tum Badlo Thoda Hum
Tumsa Nahin Dekha: A Love Story
Uuf Kya Jaadoo Mohabbat Hai[8]
Vaastu Shastra
Veer-Zaara
Wajahh: A Reason to Kill
Woh[9]
Yeh Lamhe Judaai Ke
Yuva
7½ Phere
99.9 FM
Aashiq Banaya Aapne
Amavas[2]
Anjaane
Apaharan
Bachke Rehna Re Baba
Barsaat
Bewafaa
Bhagmati
Black
Blackmail
Bluffmaster!
Bullet: Ek Dhamaka
Bunty Aur Babli
Chaahat – Ek Nasha
Chand Sa Roshan Chehra
Chehraa
Chetna: The Excitement[3]
Chocolate
Chor Mandli
Classic – Dance of Love
D
Dansh
Deewane Huye Paagal
Dil Jo Bhi Kahey
Dosti: Friends Forever
Double Cross - Ek Dhoka
Dreams
Dus
Ek Ajnabee
Ek Khiladi Ek Haseena
Elaan
Fareb
Film Star
Fun – Can Be Dangerous Sometimes
Garam Masala
Hanuman
Hazaaron Khwaishein Aisi
Home Delivery
Hum Dum
Hum Tum Aur Mom
Insan
Iqbal
Jackpot[5]
Jai Chiranjeeva
Jalwa - Fun in Love[6]
James
Jo Bole So Nihaal
Jurm
Kaal
Kalyug
Karam
Kasak
Khamoshh Khauff Ki Raat
Kisna: The Warrior Poet
"""Khullam Khulla Pyaar Karen"""
Koi Aap Sa
Koi Mere Dil Mein Hai
Kuchh Meetha Ho Jaye
Kyaa Kool Hai Hum
Kyon Ki
Lucky: No Time for Love
Main Aisa Hi Hoon
"Main, Meri Patni Aur Woh"
Maine Gandhi Ko Nahin Mara
Maine Pyaar Kyun Kiya?
Mangal Pandey: The Rising
Mashooka[7]
Mazaa Mazaa
Morning Raga
Mr Ya Miss
Mr Prime Minister
Mumbai Xpress
Mumbai Godfather
My Brother Nikhil
My Wife's Murder
Naam Gum Jaayega
Naina
Neal 'n' Nikki
Nigehbaan: The Third Eye[8]
No Entry
Padmashree Laloo Prasad Yadav
Page 3
Pehchaan: The Face of Truth
Paheli
Parineeta
Pyaar Mein Twist
Ramji Londonwale
Revati
Rog
Saathi: The Companion
Salaam Namaste
Sarkar
Sau Jhooth Ek Sach
Sauda - The Deal[9]
Sehar
Shaadi No. 1
Shabd
Shabnam Mausi
Sheesha
Shikhar
Silsiilay
Sitam[10]
Socha Na Tha
Ssukh
Taj Mahal: An Eternal Love Story
Tango Charlie
Tezaab – The Acid of Love[11]
The Film
Time Pass[12]
Topless[13]
"U, Bomsi n Me"
Vaada
Vaah! Life Ho Toh Aisi!
Viruddh Family Comes First
Waqt: The Race Against Time
Water
White Rainbow
Yahaan
Yakeen
Zameer: The Fire Within
Zeher
