No One Killed Jessica
Kamaal Dhamaal Malamaal
OMG – Oh My God!
English Vinglish
Kismat Love Paisa Dilli
Aiyyaa
Login
Chittagong
Bhoot Returns
Student of the Year
Delhi Safari
Chakravyuh
Ajab Gazabb Love
Rush
Luv Shuv Tey Chicken Khurana
1920: The Evil Returns
Ata Pata Laapata
Sons of Ram
Future To Bright Hai Ji
Jab Tak Hai Jaan
Son Of Sardaar
Talaash: The Answer Lies Within
Khiladi 786
The Last Act
Cigarette Ki Tarah
Dabangg 2
Table No. 21
Dehraadun Diary
Meri Shadi Karao
Matru Ki Bijlee Ka Mandola
Pyaar Mein Aisa Hota Hai
Gangoobai
Inkaar
Mumbai Mirror
Bandook
Race 2
Akaash Vani
Main Krishna Hoon
Deewana Main Deewana
David
Vishwaroopam
Mai...
Listen... Amaya
Special 26
ABCD: Any Body Can Dance
The Unsound
Jayantabhai Ki Luv Story
Murder 3
Kai Po Che!
Zila Ghaziabad
"I, Me Aur Main"
Bloody Isshq
The Attacks of 26/11
"Saheb, Biwi Aur Gangster Returns"
Saare Jahaan Se Mehnga
3G - A Killer Connection
Asab Bosana Mera Story Hai
Mere Dad Ki Maruti
Jolly LLB
Rangrezz
The Adventures of Sinbad
Himmatwala
Chashme Baddoor
Nautanki Saala
Commando: A One Man Army
Ek Thi Daayan
Aashiqui 2
Shree
Shootout at Wadala
Bombay Talkies
Chhota Bheem and the Throne of Bali
Savita Bhabhi
Go Goa Gone
Gippi
Aurangzeb
I Don't Luv U
Beehad - The Ravines
Ishkq in Paris
Hum Hai Raahi Car Ke
Zindagi 50-50
Yeh Jawaani Hai Deewani
Yamla Pagla Deewana 2
Mere Haule Dost
Fukrey
Ankur Arora Murder Case
Raanjhanaa
Enemmy
Shortcut Romeo
Hai Golmaal In White House
Ghanchakkar
Lootera
Policegiri
Bhaag Milkha Bhaag
Sixteen
Boyss Toh Boyss Hain
Ramaiya Vastavaiya
D Day
Ship of Theseus
Issaq
Zanjeer
Shuddh Desi Romance
Zindagi Jalebi
Siddharth
Grand Masti
John Day
Horror Story
Phata Poster Nikhla Hero
The Lunchbox
Warning
Maazii
Prague
Super Model
Besharam
War Chhod Na Yaar
Baat Bann Gayi
Ekk Thee Sanam
Paapi - Ek Satya Katha
Boss
Shahid
Wake Up India
Amdavad Junction
Dilli Gang
Mickey Virus
Ishk Actually
Sooper Se Ooper
Krrish 3
Satya 2
Rajjo
Goliyon Ki Raasleela Ram-Leela
Kaand: Black Scandal
Gori Tere Pyaar Mein
Singh Saab The Great
Bullett Raja
R... Rajkumar
Jackpot
What the Fish
Dhoom 3
Mr Joe B. Carvalho
19th January
Sholay 3D
Dedh Ishqiya
Yaariyan
Karle Pyaar Karle
Miss Lovely
Om-Dar-B-Dar
Paranthe Wali Gali
Strings of Passion
Jai Ho
One by Two
Babloo Happy Hai
Hasee Toh Phasee
Heartless
Ya Rab
Gunday
Kaho Na Kaho
Darr @ the Mall
Dee Saturday Night
Gulabi Gang
Highway
Karar: The Deal
Pyar Ka Live Show
The Dark Secrets Of Tonhi
Anuradha
Shaadi Ke Side Effects
Akela The Alone
Gulaab Gang
Queen
Total Siyapaa
Bewakoofiyaan
Neighbours
Ankhon Dekhi
Gang of Ghosts
Lakshmi
Ragini MMS 2
Dishkiyaoon
O Teri
Station
Youngistaan
Ebn-E-Batuta
Honour Killing
Jal
Main Tera Hero
Bhoothnath Returns
2 States
Dekh Tamasha Dekh
Lucky Kabootar
Kaanchi: The Unbreakable
Revolver Rani
Samrat & Co.
Purani Jeans
Kya Dilli Kya Lahore
Angry Young Man
Kahin Hai Mera Pyar
Hawaa Hawaai
Khwaabb
Koyelaanchal
Manjunath
Mastram
Yeh Hai Bakrapur
The Xposé
Children of War
M3 - Midsummer Midnight Mumbai
Heropanti
CityLights
Kuku Mathur Ki Jhand Ho Gayi
Filmistaan
Holiday: A Soldier Is Never Off Duty
Fugly
Machhli Jal Ki Rani Hai
Humshakals
Ek Villain
Kick
Entertainment
Singham Returns
Life is Beautiful!
Mad About Dance
Mardaani
Mumbhai Connection
Raja Natwarlal
Mary Kom
Creature
Daawat-e-Ishq
Khoobsurat
3 A.M.
Chaarfutiya Chhokare
Desi Kattey
Meinu Ek Ladki Chaahiye
Balwinder Singh Famous Ho Gaya
Bang Bang!
Haider
Spark
Jigariyaa
Ekkees Toppon Ki Salaami
Tamanchey
Mumbai 125 KM
Sonali Cable
Happy New Year
Fireflies
Roar: Tigers of the Sundarbans
Super Nani
Rang Rasiya
A Decent Arrangement
The Shaukeens
Kill Dil
Gollu Aur Pappu
Happy Ending
Titoo MBA
Wah Taj
Hum Hai Teen Khurafaati (हम हैं तीन खुराफाती)
Ungli
Zed Plus
Zid
Action Jackson
Bhopal: A Prayer for Rain
Mumbai Delhi Mumbai
Sulemani Keeda
Badlapur Boys
Life Mein Twist Hai
LUV...Phir Kabhie
Main Aur Mr. Riight
Objection My God
Room – The Mystery
PK
Ugly
International Hero
Mumbai Can Dance Saala
Take It Easy
Tevar
Alone
Crazy Cukkad Family
Sharafat Gayi Tel Lene
Baby
Dolly Ki Doli
Chal Guru Ho Ja Shuru
Hawaizaada
Khamoshiyan
Rahasya
Jai Jawaan Jai Kisaan
Shamitabh
MSG: The Messenger
Roy
Badlapur
Qissa
Ab Tak Chhappan 2
Dum Laga Ke Haisha
Badmashiyaan
Coffee Bloom
Dirty Politics
Hey Bro
NH10
Dilliwali Zaalim Girlfriend
Hunterrr
Barkhaa
Yahaan Sabki Lagi Hai
Detective Byomkesh Bakshy!
Luckhnowi Ishq
Dharam Sankat Mein
Ek Paheli Leela
Court
Margarita with a Straw
Mr. X
NH-8 Road to Nidhivan
Ek Adbhut Dakshina Guru Dakshina
Ishq Ke Parindey
Kaagaz Ke Fools
Gabbar Is Back
Sabki Bajegi Band
Kuch Kuch Locha Hai
Piku
Bombay Velvet
Main Hoon Part-Time Killer
Tanu Weds Manu: Returns
Waiting
I Love Desi
Ishqedarriyaan
P Se PM Tak
Welcome 2 Karachi
Dil Dhadakne Do
Mere Genie Uncle
Hamari Adhuri Kahani
ABCD 2
Miss Tanakpur Haazir Ho
Uvaa
Lion of Gujarat
Bezubaan Ishq
Guddu Rangeela
Second Hand Husband
I Love NY
Thoda Lutf Thoda Ishq
Bajrangi Bhaijaan
Aisa Yeh Jahaan
Masaan
Drishyam
Bangistan
Brothers
Gour Hari Dastaan
All Is Well
Manjhi – The Mountain Man
Rolling Dream
Kaun Kitney Paani Mein
Phantom
Welcome Back
Lakhon Hain Yahan Dilwale
Hero
Sorry Daddy
Katti Batti
Meeruthiya Gangster
Kis Kisko Pyaar Karoon
Bhaag Johnny
Title
Singh Is Bliing
Talvar
Jazbaa
Bumper Draw
Chinar Daastaan-E-Ishq
Pyaar Ka Punchnama 2
Wedding Pullav
Shaandaar
Titli
Main Aur Charles
Once Upon a Time in Bihar
Guddu Ki Gun
Love Exchange
Prithipal Singh... A Story
Four Pillars of Basement
Charlie Kay Chakkar Mein
Yaara Silly Silly
Ranbanka
Prem Ratan Dhan Payo
X: Past Is Present
Angry Indian Goddesses
Tamasha
Hate Story 3
Kajarya
The Silent Heroes
Bajirao Mastani
Dilwale
